Numero1,Numero2,Numero3,Numero4
397,67,52,324
276,150,380,218
55,205,488,221
90,157,268,159
480,381,96,354
479,396,8,32
164,134,219,177
146,383,381,233
133,485,140,369
53,298,337,258
257,420,139,175
485,159,411,439
395,231,441,170
382,203,362,12
300,215,234,19
451,70,277,88
330,373,88,355
159,444,52,276
160,347,238,92
341,4,245,275
256,466,310,44
296,82,471,422
78,433,188,425
337,136,80,291
23,238,356,357
434,191,25,54
306,87,176,170
156,84,440,465
71,203,174,430
298,448,66,426
148,499,40,198
170,491,281,229
20,269,174,184
148,273,153,204
160,123,239,105
250,280,6,121
45,70,286,112
71,255,164,293
264,226,175,356
79,328,123,13
279,292,100,339
378,148,53,6
7,47,199,319
182,326,149,277
10,229,305,203
340,142,467,304
244,319,59,442
432,50,20,170
393,334,205,92
18,205,11,376
467,406,34,325
279,308,250,159
469,499,41,304
444,206,365,289
51,292,14,435
437,323,97,461
199,325,380,184
399,102,56,470
147,190,262,211
305,274,473,43
282,123,325,259
28,405,78,278
498,7,124,307
355,266,364,309
23,410,275,159
56,225,162,391
403,422,414,245
237,482,496,266
458,139,13,48
354,80,412,286
90,332,260,187
358,246,7,370
41,405,351,316
95,280,71,40
245,394,118,118
183,268,365,349
86,402,96,305
251,100,158,217
465,444,236,163
499,313,301,217
267,358,71,285
204,497,243,84
346,16,313,297
413,36,476,248
384,209,457,460
177,142,90,400
495,230,83,204
307,253,164,155
170,255,202,236
283,474,429,50
196,289,98,16
24,375,181,224
379,59,236,4
409,87,112,241
480,334,452,208
17,271,317,155
409,329,257,200
196,133,377,45
364,415,190,377
222,305,20,352
206,37,330,375
367,46,18,8
486,320,150,171
407,294,81,425
200,19,48,32
151,305,149,100
404,19,15,96
233,144,75,143
31,321,13,484
49,3,375,236
303,461,279,487
287,402,294,91
300,27,372,480
203,450,72,137
362,499,425,352
342,496,450,289
109,318,182,348
101,98,45,260
25,154,26,372
83,382,357,10
129,27,322,399
386,486,319,67
431,11,42,282
50,377,384,50
455,419,233,360
9,17,309,370
258,459,58,407
64,410,399,212
497,475,217,68
468,250,104,7
216,61,213,81
359,450,472,242
147,386,50,179
413,22,141,95
456,264,56,213
196,355,74,462
481,63,164,153
326,91,2,123
133,240,111,245
189,396,30,372
253,356,134,246
57,98,87,109
375,76,363,250
108,209,474,446
405,283,242,281
453,72,409,103
421,75,445,426
403,408,66,385
380,477,345,425
341,226,281,260
