Momentum,RSI,MACD,Clasificación
2.5,65,1.2,Comprar
-2.8,75,-0.5,Vender
1.7,50,0.85,Comprar
0.1,62,1.00,Mantener
-0.4,70,0.25,Mantener
2.1,68,1.10,Comprar
-3.0,72,-1.40,Vender
0.5,63,1.05,Mantener
1.9,67,1.15,Comprar
-1.2,71,-0.35,Vender
2.6,74,1.45,Comprar
-2.4,76,-1.55,Vender
1.0,78,1.65,Comprar
-1.8,80,-1.75,Vender
0.2,60,-0.30,Mantener
2.3,59,0.90,Comprar
-2.1,77,-0.80,Vender
1.5,69,1.30,Comprar
-0.2,73,0.20,Mantener
2.7,64,1.50,Comprar
-2.9,79,-1.60,Vender
1.8,66,1.00,Comprar
-1.0,81,-0.40,Vender
0.3,61,0.95,Mantener
2.4,58,1.40,Comprar
-2.2,82,-1.70,Vender
1.6,54,1.20,Comprar
-0.1,83,0.10,Mantener
2.8,53,1.60,Comprar
-2.5,84,-1.80,Vender
1.2,52,1.10,Comprar
-0.3,85,-0.20,Mantener
2.9,51,1.70,Comprar
-2.6,86,-1.90,Vender
1.3,49,1.30,Comprar
-0.5,87,-0.10,Mantener
3.0,48,1.80,Comprar
-2.7,88,-2.00,Vender
1.4,47,1.40,Comprar
-0.6,89,-0.05,Mantener
