Numero1,Numero2,Numero3,Numero4,Categoria
29.0,42.0,3.0,86.0,Electrónica
92.0,31.0,59.0,54.0,Electrónica
32.0,92.0,45.0,85.0,Electrónica
82.0,17.0,27.0,39.0,Electrónica
14.0,30.0,95.0,37.0,Electrónica
40.0,46.0,6.0,56.0,Electrónica
22.0,2.0,23.0,40.0,Electrónica
15.0,22.0,95.0,61.0,Electrónica
12.0,48.0,6.0,15.0,Electrónica
45.0,65.0,71.0,12.0,Electrónica
2.0,81.0,25.0,59.0,Electrónica
5.0,73.0,53.0,3.0,Electrónica
36.0,29.0,4.0,62.0,Electrónica
49.0,81.0,14.0,29.0,Electrónica
30.0,69.0,73.0,48.0,Electrónica
40.0,59.0,15.0,43.0,Electrónica
59.0,84.0,55.0,47.0,Electrónica
10.0,71.0,82.0,51.0,Electrónica
43.0,91.0,54.0,28.0,Electrónica
5.0,67.0,43.0,65.0,Electrónica
37.0,45.0,34.0,77.0,Electrónica
61.0,39.0,64.0,80.0,Electrónica
16.0,50.0,27.0,58.0,Electrónica
91.0,35.0,95.0,93.0,Electrónica
28.0,81.0,81.0,61.0,Electrónica
43.0,20.0,84.0,46.0,Electrónica
19.0,36.0,12.0,57.0,Electrónica
5.0,43.0,82.0,49.0,Electrónica
8.0,21.0,21.0,93.0,Electrónica
97.0,89.0,98.0,7.0,Electrónica
74.0,6.0,84.0,97.0,Electrónica
87.0,70.0,57.0,81.0,Electrónica
11.0,38.0,23.0,85.0,Electrónica
95.0,61.0,23.0,19.0,Electrónica
37.0,84.0,16.0,54.0,Electrónica
62.0,63.0,63.0,27.0,Electrónica
98.0,31.0,81.0,80.0,Electrónica
62.0,75.0,3.0,24.0,Electrónica
44.0,51.0,98.0,46.0,Electrónica
11.0,17.0,30.0,94.0,Electrónica
66.0,45.0,2.0,8.0,Electrónica
28.0,64.0,49.0,54.0,Electrónica
39.0,34.0,25.0,21.0,Electrónica
40.0,18.0,39.0,76.0,Electrónica
25.0,54.0,61.0,25.0,Electrónica
96.0,33.0,41.0,98.0,Electrónica
81.0,22.0,55.0,70.0,Electrónica
73.0,27.0,78.0,69.0,Electrónica
97.0,64.0,42.0,45.0,Electrónica
57.0,54.0,57.0,31.0,Electrónica

